# RC1 cold baseline ledger. The values "unknown", "not-resolved", and
# "not-run" are explicit gate values, not provider defaults.
# Columns: baseline_id provider region runtime_topology release_patch edition preset database database_major search search_major cache cache_major queue queue_major web_cache web_cache_major edge observability artifact_digest runtime_contract schema_contract migration_status gate_status evidence reason
aws-ecs-fargate-249-preview	aws	eu-north-1	ecs-fargate-preview	2.4.9	open-source	preview	rds-mysql	8.x	disabled	none	valkey	unknown	database	none	varnish	8.0.2	cloudfront-waf	cloudwatch	669890779205.dkr.ecr.eu-north-1.amazonaws.com/magelift-acceptance@sha256:f8cb3bbc6643f1334dfc6a6ed6b010949ca490ee4e0aa655be7b7d286b4d4d7e	php=8.5;composer=2.10;extensions=resolved;credentials=secret-ref	magento-b2b-dump	baseline	experimental	aws-preview-certified-pass-2026-08-06	Historical ECS preview pass with queue transitions; the public evidence does not record the managed database or Valkey major versions required by the expanded ledger.
aws-eks-249-preview	aws	eu-north-1	eks-auto-mode-kubernetes-1.36-one-replica	2.4.9	open-source	preview	rds-mysql	8.x	opensearch	3.8	valkey	unknown	database+rabbitmq	4.3	none	none	loadbalancer	cloudwatch	669890779205.dkr.ecr.eu-north-1.amazonaws.com/magelift-acceptance@sha256:f8cb3bbc6643f1334dfc6a6ed6b010949ca490ee4e0aa655be7b7d286b4d4d7e	php=8.5;composer=2.10;extensions=resolved;credentials=secret-ref	magento-b2b-dump	baseline	experimental	aws-eks-warm-matrix-2026-08-07	Warm runtime evidence only; no HA, secured Valkey, external HTTPS, or full day-2 certification.
gcp-gke-autopilot-249-preview	gcp	europe-west1	gke-autopilot-preview	2.4.9	open-source	preview	cloud-sql-mysql	8.4	opensearch	3	valkey	8	database	none	none	none	cloud-armor-disabled	google-cloud-operations	europe-west1-docker.pkg.dev/digital-lab-341608/magelift/magento-249@sha256:f6b4ebaafbf1faa395e891bf89188c96da328aaf968d14e7aacc9bb8a76e5b08	php=8.5;composer=2.10;extensions=resolved;credentials=gcp-secret-manager-ref	magento-b2b-dump	baseline	experimental	gcp-249-preview-mysql84-certified-pass-2026-08-07	Live application evidence passed, but provider Valkey 8 does not satisfy the dated Adobe 2.4.9 Valkey 9 row.
gcp-gke-autopilot-249-standard	gcp	europe-west1	gke-autopilot-standard	2.4.9	open-source	standard	cloud-sql-mysql	8.4	opensearch	3	valkey	8	rabbitmq	4.3	none	none	cloud-armor-disabled	google-cloud-operations	europe-west1-docker.pkg.dev/digital-lab-341608/magelift/magento-249@sha256:f6b4ebaafbf1faa395e891bf89188c96da328aaf968d14e7aacc9bb8a76e5b08	php=8.5;composer=2.10;extensions=resolved;credentials=gcp-secret-manager-ref	magento-b2b-dump	baseline	experimental	gcp-249-standard-mysql84-certified-pass-2026-08-07	13 live cells passed; the cache version mismatch keeps the full Adobe cell experimental.
gcp-gke-standard-249-ha	gcp	europe-west1	gke-standard-three-node-ha	2.4.9	open-source	high-availability	cloud-sql-mysql	8.4	opensearch	3.8	valkey	8	rabbitmq	4.3	none	none	cloud-armor-disabled	google-cloud-operations	europe-west1-docker.pkg.dev/digital-lab-341608/magelift/magento-249@sha256:f6b4ebaafbf1faa395e891bf89188c96da328aaf968d14e7aacc9bb8a76e5b08	php=8.5;composer=2.10;extensions=resolved;credentials=gcp-secret-manager-ref	magento-b2b-dump	baseline	experimental	gcp-249-ha-standard-mysql84-certified-pass-2026-08-07	13 live cells passed; the cache version mismatch keeps the full Adobe cell experimental.
gcp-gke-standard-246-runtime	gcp	europe-west1	gke-standard-three-zone-ha	2.4.6-p15	open-source	high-availability	cloud-sql-mysql	8.4	opensearch	3	valkey	8	rabbitmq	4.3	none	none	cloud-armor-disabled	google-cloud-operations	europe-west1-docker.pkg.dev/digital-lab-341608/magelift/magento-246@sha256:7b3a61ad4cc71451b2cd67e57d68d0c2f39a2e25bd8b600d4f68c7815269d201	php=8.2;composer=2.10;extensions=resolved;credentials=gcp-secret-manager-ref	magento-b2b-dump	baseline	unsupported	gcp-246-ha-standard-certified-pass-2026-08-07	Adobe 2.4.6-p15 marks MySQL unsupported; the historical run is topology and runtime evidence only.
aws-ecs-fargate-249-mariadb	aws	eu-north-1	ecs-fargate-preview	2.4.9	open-source	preview	rds-mariadb	11.8	disabled	none	valkey	unknown	database	none	varnish	8.0.2	cloudfront-waf	cloudwatch	not-resolved	php=8.5;composer=2.10;extensions=resolved;credentials=secret-ref	magento-b2b-dump	not-run	not-run	matrix-ledger-2026-08-08	AWS MariaDB is an experimental adapter and has no live cold baseline in this run.
gcp-mariadb-249-unavailable	gcp	europe-west1	gke-autopilot-preview	2.4.9	open-source	preview	mariadb	11.8	disabled	none	valkey	8	database	none	none	none	cloud-armor-disabled	google-cloud-operations	not-resolved	php=8.5;composer=2.10;extensions=resolved;credentials=gcp-secret-manager-ref	magento-b2b-dump	not-run	unavailable	matrix-ledger-2026-08-08	GCP MageLift currently exposes Cloud SQL MySQL only, not managed MariaDB.
gcp-elasticsearch-249-unsupported	gcp	europe-west1	gke-autopilot-preview	2.4.9	open-source	preview	cloud-sql-mysql	8.4	elasticsearch	8	valkey	8	database	none	none	none	cloud-armor-disabled	google-cloud-operations	not-resolved	php=8.5;composer=2.10;extensions=resolved;credentials=gcp-secret-manager-ref	magento-b2b-dump	not-run	unsupported	matrix-ledger-2026-08-08	Adobe 2.4.9 marks Elasticsearch unsupported.
scaleway-redis-249-unsupported	scaleway	fr-par	kapsule-1.36.1-one-node	2.4.9	open-source	preview	mysql	8	disabled	none	redis	8.6.3	database	none	none	none	none	provider-native	not-resolved	php=8.5;composer=2.10;extensions=resolved;credentials=secret-ref	magento-b2b-dump	not-run	unsupported	scaleway-infrastructure-pass-2026-08-06	The infrastructure smoke used Redis 8.6.3, which is not the Adobe 2.4.9 Valkey requirement.
